Cost Rank,Product Name,Product Life Cycle,FY22 Q2,FY22 Q3,FY22 Q4,FY23 Q1,FY23 Q2,FY23 Q3,FY23 Q4,FY24 Q1,FY24 Q2,FY24 Q3,FY24 Q4,FY25 Q1,Your Forecast FY25 Q2
1,SWITCH Enterprise High ,Sustaining,57147.0,52873.0,52870.0,38833.0,27114.0,21823,31813,27302,22084,21830,29404,24518,
2,SWITCH Enterprise Ultra High ,Sustaining,222.0,1549.0,4619.0,4764.0,5015.0,6656,9605,5956,8450,8584,12552,9665,
3,SWITCH Enterprise Ultra High ,Sustaining,24362.0,21308.0,19067.0,14551.0,13271.0,10165,10477,7295,8084,9249,10742,9189,
4,SWITCH Enterprise Low,Sustaining,24362.0,21308.0,1227.0,24186.0,7680.0,16772,17554,16095,26125,24337,21988,32768,
5,TRANSCEIVER MODULE Mid,Sustaining,208760.0,116126.0,150803.0,82163.0,82408.0,67132,87498,69599,78130,76840,85421,54494,
6,POWER SUPPLY High,Sustaining,204604.0,194538.0,185160.0,147284.0,136997.0,100623,128229,100456,93373,115327,145690,120699,
7,TRANSCEIVER MODULE High,Sustaining,19790.0,2476.0,3149.0,6367.0,2287.0,11281,5212,5408,11956,16406,6735,29889,
8,ACCESS POINT Mid,Sustaining,19790.0,2476.0,13260.0,21667.0,30498.0,40505,61214,41932,59424,60073,66952,57131,
9,POWER SUPPLY Mid,Sustaining,191286.0,228892.0,197489.0,138040.0,116870.0,96797,117644,116489,96255,97046,127181,109609,
10,SERVER ,Sustaining,191286.0,228892.0,197489.0,138040.0,116870.0,677,6834,4355,5400,4422,6635,4970,
11,PROCESSOR ,Sustaining,191286.0,228892.0,197489.0,138040.0,116870.0,648,2415,1331,1828,1346,1175,1376,
12,SWITCH Data Center High,Sustaining,1263.0,1314.0,843.0,974.0,753.0,693,911,917,1944,1267,1757,1472,
13,TRANSCEIVER MODULE Mid,Sustaining,1263.0,1314.0,1688.0,531.0,6487.0,5456,10031,10803,15667,37379,34423,36285,
14,ROUTER Enterprise Mid ,Sustaining,2057.0,4266.0,11650.0,7218.0,6969.0,8713,10622,11449,10366,13540,16468,13724,
15,MEMORY ,Decline,58911.0,69308.0,107690.0,70616.0,68431.0,69252,84833,69172,58610,51083,22115,19674,
16,ROUTER Enterprise Mid ,Sustaining,2349.0,2359.0,2861.0,2655.0,3497.0,2837,4237,3817,3855,5784,7840,5309,
17,SWITCH Data Center Mid,Sustaining,4593.0,6513.0,3093.0,2531.0,2182.0,2192,2586,1918,2340,1979,1712,1675,
18,ROUTER Enterprise Low ,Decline,13153.0,15149.0,17700.0,10373.0,15770.0,1199,3395,5576,5272,6085,6761,16697,
19,SWITCH Data Center Mid,Sustaining,6629.0,4275.0,2981.0,2956.0,1987.0,1709,2326,2280,2001,3152,3208,2374,
20,SWITCH Enterprise High ,NPI,,,,,6.0,26,111,97,158,138,192,149,
