Cost_Rank,Product_Name,Product_Life_Cycle,FY22_Q2,FY22_Q3,FY22_Q4,FY23_Q1,FY23_Q2,FY23_Q3,FY23_Q4,FY24_Q1,FY24_Q2,FY24_Q3,FY24_Q4,FY25_Q1,D_FY2024_Q3_Accuracy,D_FY2024_Q3_BIAS,D_FY2024_Q4_Accuracy,D_FY2024_Q4_BIAS,D_FY2025_Q1_Accuracy,D_FY2025_Q1_BIAS,M_FY2024_Q3_Accuracy,M_FY2024_Q3_BIAS,M_FY2024_Q4_Accuracy,M_FY2024_Q4_BIAS,M_FY2025_Q1_Accuracy,M_FY2025_Q1_BIAS,S_FY2024_Q3_Accuracy,S_FY2024_Q3_BIAS,S_FY2024_Q4_Accuracy,S_FY2024_Q4_BIAS,S_FY2025_Q1_Accuracy,S_FY2025_Q1_BIAS,D_FY2025_Q2_Forecasted,M_FY2025_Q2_Forecasted,S_FY2025_Q2_Forecasted,D_FY24_Q3_Forecasted,D_FY24_Q4_Forecasted,D_FY25_Q1_Forecasted,M_FY24_Q3_Forecasted,M_FY24_Q4_Forecasted,M_FY25_Q1_Forecasted,S_FY24_Q3_Forecasted,S_FY24_Q4_Forecasted,S_FY25_Q1_Forecasted
1,SWITCH Enterprise High ,Sustaining,57147.0,52873.0,52870.0,38833.0,27114.0,21823,31813,27302,22084,21830,29404,24518,0.809,0.191,0.9847,0.015300000000000001,0.7946,0.2054,0.7504000000000001,0.24960000000000002,0.6873,0.3127,0.2989,0.7011,0.7651,0.2349,0.9426000000000001,-0.0574,0.8493999999999999,0.1506,29814,28378,26648,25999.530000000002,29853.881200000003,29553.9972,27278.768,38598.6308,41707.5698,26957.867000000002,27716.2104,28210.4108
2,SWITCH Enterprise Ultra High ,Sustaining,222.0,1549.0,4619.0,4764.0,5015.0,6656,9605,5956,8450,8584,12552,9665,0.8556,0.1444,0.9246,-0.0754,0.8640000000000001,0.136,0.8061,-0.19390000000000002,0.78,-0.22,0.9054000000000001,0.0946,0.9305,0.0695,0.46299999999999997,-0.537,0.6661,-0.33390000000000003,11046,7748,11865,9823.5296,11605.5792,10979.44,6919.562400000001,9790.56,10579.309,9180.588000000002,5811.576,6437.856499999999
3,SWITCH Enterprise Ultra High ,Sustaining,24362.0,21308.0,19067.0,14551.0,13271.0,10165,10477,7295,8084,9249,10742,9189,0.8972,0.10279999999999999,0.9842,0.0158,0.8862000000000001,0.11380000000000001,0.8220000000000001,0.17800000000000002,0.5648,0.43520000000000003,0.18710000000000002,0.8129000000000001,0.9379000000000001,-0.0621,0.0894,-0.9106000000000001,0.7793000000000001,-0.2207,10450,10785,9165,10199.7972,10911.723600000001,10234.7082,10895.322,15416.9184,16658.7381,8674.6371,960.3347999999992,7160.9877
4,SWITCH Enterprise Low,Sustaining,,,1227.0,24186.0,7680.0,16772,17554,16095,26125,24337,21988,32768,0.9723999999999999,0.0276,0.79,0.21,0.6714,-0.3286,0.9598,0.04019999999999999,0.2245,0.7755,0.6271,0.3729,0.7881,-0.2119,0.7299,-0.2701,0.48119999999999996,-0.5188,24505,29567,24186,25008.701200000003,26605.48,22000.4352,25315.3474,39039.694,44987.1872,19179.989700000002,16049.0412,15767.961599999999
5,TRANSCEIVER MODULE Mid,Sustaining,208760.0,116126.0,150803.0,82163.0,82408.0,67132,87498,69599,78130,76840,85421,54494,0.898,-0.102,0.9494,-0.0506,0.6236999999999999,0.3763,0.9719,0.0281,0.8312,-0.16879999999999998,0.5778,0.42219999999999996,0.9928,-0.0072,0.8931,-0.1069,0.6125,0.3875,70000,71000,68858,69002.32,81098.6974,75000.0922,78999.204,71001.9352,77501.36679999999,76286.75200000001,76289.4951,75610.425
6,POWER SUPPLY High,Sustaining,204604.0,194538.0,185160.0,147284.0,136997.0,100623,128229,100456,93373,115327,145690,120699,0.9606,-0.0394,0.9351,0.0649,0.9365000000000001,0.0635,0.8429000000000001,0.15710000000000002,0.8673000000000001,-0.13269999999999998,0.9414,-0.058600000000000006,0.8742,-0.1258,0.7363,-0.2637,0.866,-0.134,127665,116756,114336,110783.1162,155145.281,128363.3865,133444.8717,126356.93699999999,113626.0386,100818.8634,107271.54699999999,104525.334
7,TRANSCEIVER MODULE High,Sustaining,19790.0,2476.0,3149.0,6367.0,2287.0,11281,5212,5408,11956,16406,6735,29889,0.8533,-0.1467,0.0,1.2272,0.3011,-0.6989,0.6705,-0.3295,0.0,1.6725999999999999,0.3011,-0.6989,0.4725,-0.5275,0.7816,-0.2184,0.1898,-0.8101999999999999,32000,62300,14613,13999.2398,15000.192,8999.5779,11000.223,17999.961,8999.5779,7751.835000000001,5264.076,5672.932200000002
8,ACCESS POINT Mid,Sustaining,,,13260.0,21667.0,30498.0,40505,61214,41932,59424,60073,66952,57131,0.9642000000000001,-0.0358,0.9958,0.0042,0.9884999999999999,0.0115,0.7509999999999999,0.249,0.9948,0.0052,0.9551000000000001,0.0449,0.7798,-0.2202,0.466,-0.534,0.7190000000000001,-0.281,65597,62369,64793,57922.3866,67233.1984,57788.0065,75031.17700000001,67300.15040000001,59696.181899999996,46844.9254,31199.631999999998,41077.189
9,POWER SUPPLY Mid,Sustaining,191286.0,228892.0,197489.0,138040.0,116870.0,96797,117644,116489,96255,97046,127181,109609,0.6722,0.32780000000000004,0.9224,0.0776,0.9268000000000001,0.0732,0.5565,0.4435,0.9738,0.0262,0.9490999999999999,-0.0509,0.8592,0.1408,0.9479000000000001,-0.0521,0.9068999999999999,0.0931,119977,117350,112212,128857.67880000001,137050.2456,117632.37879999999,140085.901,130513.1422,104029.90190000001,110710.07680000001,120554.86989999999,119813.5979
10,SERVER ,Sustaining,,,,,,677,6834,4355,5400,4422,6635,4970,0.41700000000000004,0.583,0.8576,0.1424,0.7161,0.2839,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.7241,0.2759,0.5705,-0.42950000000000005,0.8058,-0.1942,7671,7502,5935,7000.026,7579.8240000000005,6380.983,0.0,0.0,0.0,5642.0298,3785.2675,4004.826
