Cisco Rank,Team Name, PRODUCT_TYPE,Forecast Submitted for Q2 FY25,Booking Actuals Q2 FY25,PLID level Accuracy,Bias,Booked Cost,Cost Weight,Cost Weighted Accuracy,Overall Accuracy Team,,,
1,Your_Team_Name,SWITCH Enterprise High 1,," 23,252 ",0.00%,-100%," $14,967,933 ",7.564%,0.000%,0.000%,,,
2,Your_Team_Name,SWITCH Enterprise Ultra High 1,," 8,652 ",0.00%,-100%," $12,070,884 ",2.270%,0.000%,0.000%,,,
3,Your_Team_Name,SWITCH Enterprise Ultra High 2,," 9,947 ",0.00%,-100%," $12,411,502 ",2.683%,0.000%,0.000%,,,
4,Your_Team_Name,SWITCH Enterprise Low,," 20,574 ",0.00%,-100%," $6,316,394 ",2.824%,0.000%,0.000%,,,
5,Your_Team_Name,TRANSCEIVER MODULE Mid 1,," 65,146 ",0.00%,-100%," $11,594,579 ",16.415%,0.000%,0.000%,,,
6,Your_Team_Name,POWER SUPPLY High,," 123,051 ",0.00%,-100%," $8,726,057 ",23.335%,0.000%,0.000%,,,
7,Your_Team_Name,TRANSCEIVER MODULE High1,," 5,818 ",0.00%,-100%," $1,589,288 ",0.201%,0.000%,0.000%,,,
8,Your_Team_Name,ACCESS POINT Mid,," 78,096 ",0.00%,-100%," $11,738,010 ",19.922%,0.000%,0.000%,,,
9,Your_Team_Name,POWER SUPPLY Mid,," 114,504 ",0.00%,-100%," $6,816,302 ",16.962%,0.000%,0.000%,,,
10,Your_Team_Name,SERVER ,," 6,185 ",0.00%,-100%," $5,961,973 ",0.801%,0.000%,0.000%,,,
11,Your_Team_Name,PROCESSOR ,, 688 ,0.00%,-100%," $2,107,891 ",0.032%,0.000%,0.000%,,,
12,Your_Team_Name,SWITCH Data Center High,," 1,721 ",0.00%,-100%," $4,810,699 ",0.180%,0.000%,0.000%,,,
