,,FY2025 Q1,,FY2024 Q4,,FY2024 Q3,
Cost Rank, Product Name  ,Accuracy,BIAS,Accuracy,BIAS,Accuracy,BIAS
1,SWITCH Enterprise High ,79.46%,20.54%,98.47%,1.53%,80.90%,19.10%
2,SWITCH Enterprise Ultra High ,86.40%,13.60%,92.46%,-7.54%,85.56%,14.44%
3,SWITCH Enterprise Ultra High ,88.62%,11.38%,98.42%,1.58%,89.72%,10.28%
4,SWITCH Enterprise Low,67.14%,-32.86%,79.00%,21.00%,97.24%,2.76%
5,TRANSCEIVER MODULE Mid,62.37%,37.63%,94.94%,-5.06%,89.80%,-10.20%
6,POWER SUPPLY High,93.65%,6.35%,93.51%,6.49%,96.06%,-3.94%
7,TRANSCEIVER MODULE High,30.11%,-69.89%,0.00%,122.72%,85.33%,-14.67%
8,ACCESS POINT Mid,98.85%,1.15%,99.58%,0.42%,96.42%,-3.58%
9,POWER SUPPLY Mid,92.68%,7.32%,92.24%,7.76%,67.22%,32.78%
10,SERVER ,71.61%,28.39%,85.76%,14.24%,41.70%,58.30%
11,PROCESSOR ,90.00%,10.00%,46.78%,53.22%,49.03%,-50.97%
12,SWITCH Data Center High,88.32%,-11.68%,77.69%,-22.31%,92.34%,-7.66%
13,TRANSCEIVER MODULE Mid,82.68%,-17.32%,91.51%,-8.49%,37.45%,-62.55%
14,ROUTER Enterprise Mid ,88.71%,11.29%,84.41%,-15.59%,79.76%,-20.24%
15,MEMORY ,88.79%,11.21%,0.00%,161.99%,91.13%,-8.87%
16,ROUTER Enterprise Mid ,85.10%,14.90%,73.98%,-26.02%,69.16%,-30.84%
17,SWITCH Data Center Mid,92.54%,-7.46%,62.73%,37.27%,93.89%,6.11%
18,ROUTER Enterprise Low ,60.09%,-39.91%,96.30%,-3.70%,71.39%,-28.61%
19,SWITCH Data Center Mid,88.80%,11.20%,71.70%,-28.30%,66.62%,-33.38%
20,SWITCH Enterprise High ,87.48%,12.52%,80.21%,19.79%,81.16%,18.84%
