Cost_Rank,Product_Name,Product_Life_Cycle,FY22_Q2,FY22_Q3,FY22_Q4,FY23_Q1,FY23_Q2,FY23_Q3,FY23_Q4,FY24_Q1,FY24_Q2,FY24_Q3,FY24_Q4,FY25_Q1,D_FY2024_Q3_Accuracy,D_FY2024_Q3_BIAS,D_FY2024_Q4_Accuracy,D_FY2024_Q4_BIAS,D_FY2025_Q1_Accuracy,D_FY2025_Q1_BIAS,M_FY2024_Q3_Accuracy,M_FY2024_Q3_BIAS,M_FY2024_Q4_Accuracy,M_FY2024_Q4_BIAS,M_FY2025_Q1_Accuracy,M_FY2025_Q1_BIAS,S_FY2024_Q3_Accuracy,S_FY2024_Q3_BIAS,S_FY2024_Q4_Accuracy,S_FY2024_Q4_BIAS,S_FY2025_Q1_Accuracy,S_FY2025_Q1_BIAS,D_FY2025_Q2_Forecasted,M_FY2025_Q2_Forecasted,S_FY2025_Q2_Forecasted
1,SWITCH Enterprise High ,Sustaining,57147,52873,52870,38833,27114,21823,31813,27302,22084,21830,29404,24518,80.90%,19.10%,98.47%,1.53%,79.46%,20.54%,75.04%,24.96%,68.73%,31.27%,29.89%,70.11%,76.51%,23.49%,94.26%,-5.74%,84.94%,15.06%,29814,28378,26648
2,SWITCH Enterprise Ultra High ,Sustaining,222,1549,4619,4764,5015,6656,9605,5956,8450,8584,12552,9665,85.56%,14.44%,92.46%,-7.54%,86.40%,13.60%,80.61%,-19.39%,78.00%,-22.00%,90.54%,9.46%,93.05%,6.95%,46.30%,-53.70%,66.61%,-33.39%,11046,7748,11865
3,SWITCH Enterprise Ultra High ,Sustaining,24362,21308,19067,14551,13271,10165,10477,7295,8084,9249,10742,9189,89.72%,10.28%,98.42%,1.58%,88.62%,11.38%,82.20%,17.80%,56.48%,43.52%,18.71%,81.29%,93.79%,-6.21%,8.94%,-91.06%,77.93%,-22.07%,10450,10785,9165
4,SWITCH Enterprise Low,Sustaining,,,1227,24186,7680,16772,17554,16095,26125,24337,21988,32768,97.24%,2.76%,79.00%,21.00%,67.14%,-32.86%,95.98%,4.02%,22.45%,77.55%,62.71%,37.29%,78.81%,-21.19%,72.99%,-27.01%,48.12%,-51.88%,24505,29567,24186
5,TRANSCEIVER MODULE Mid,Sustaining,208760,116126,150803,82163,82408,67132,87498,69599,78130,76840,85421,54494,89.80%,-10.20%,94.94%,-5.06%,62.37%,37.63%,97.19%,2.81%,83.12%,-16.88%,57.78%,42.22%,99.28%,-0.72%,89.31%,-10.69%,61.25%,38.75%,70000,71000,68858
6,POWER SUPPLY High,Sustaining,204604,194538,185160,147284,136997,100623,128229,100456,93373,115327,145690,120699,96.06%,-3.94%,93.51%,6.49%,93.65%,6.35%,84.29%,15.71%,86.73%,-13.27%,94.14%,-5.86%,87.42%,-12.58%,73.63%,-26.37%,86.60%,-13.40%,127665,116756,114336
7,TRANSCEIVER MODULE High,Sustaining,19790,2476,3149,6367,2287,11281,5212,5408,11956,16406,6735,29889,85.33%,-14.67%,0.00%,122.72%,30.11%,-69.89%,67.05%,-32.95%,0.00%,167.26%,30.11%,-69.89%,47.25%,-52.75%,78.16%,-21.84%,18.98%,-81.02%,32000,62300,14613
8,ACCESS POINT Mid,Sustaining,,,13260,21667,30498,40505,61214,41932,59424,60073,66952,57131,96.42%,-3.58%,99.58%,0.42%,98.85%,1.15%,75.10%,24.90%,99.48%,0.52%,95.51%,4.49%,77.98%,-22.02%,46.60%,-53.40%,71.90%,-28.10%,65597,62369,64793
9,POWER SUPPLY Mid,Sustaining,191286,228892,197489,138040,116870,96797,117644,116489,96255,97046,127181,109609,67.22%,32.78%,92.24%,7.76%,92.68%,7.32%,55.65%,44.35%,97.38%,2.62%,94.91%,-5.09%,85.92%,14.08%,94.79%,-5.21%,90.69%,9.31%,119977,117350,112212
10,SERVER ,Sustaining,,,,,,677,6834,4355,5400,4422,6635,4970,41.70%,58.30%,85.76%,14.24%,71.61%,28.39%,0.00%,-100.00%,0.00%,-100.00%,0.00%,-100.00%,72.41%,27.59%,57.05%,-42.95%,80.58%,-19.42%,7671,7502,5935
