Product Name,Product Life Cycle,FY22 Q2,FY22 Q3,FY22 Q4,FY23 Q1,FY23 Q2,FY23 Q3,FY23 Q4,FY24 Q1,FY24 Q2,FY24 Q3,FY24 Q4,FY25 Q1
SWITCH Enterprise High1,Sustaining,57147,52873,52870,38833,27114,21823,31813,27302,22084,21830,29404,24518
SWITCH Enterprise Ultra High1 ,Sustaining,222,1549,4619,4764,5015,6656,9605,5956,8450,8584,12552,9665
SWITCH Enterprise Ultra High2,Sustaining,24362,21308,19067,14551,13271,10165,10477,7295,8084,9249,10742,9189
SWITCH Enterprise Low,Sustaining,,,1227,24186,7680,16772,17554,16095,26125,24337,21988,32768
TRANSCEIVER MODULE Mid1,Sustaining,208760,116126,150803,82163,82408,67132,87498,69599,78130,76840,85421,54494
POWER SUPPLY High,Sustaining,204604,194538,185160,147284,136997,100623,128229,100456,93373,115327,145690,120699
TRANSCEIVER MODULE High,Sustaining,19790,2476,3149,6367,2287,11281,5212,5408,11956,16406,6735,29889
ACCESS POINT Mid,Sustaining,,,13260,21667,30498,40505,61214,41932,59424,60073,66952,57131
POWER SUPPLY Mid,Sustaining,191286,228892,197489,138040,116870,96797,117644,116489,96255,97046,127181,109609
SERVER ,Sustaining,,,,,,677,6834,4355,5400,4422,6635,4970
PROCESSOR ,Sustaining,,,,,,648,2415,1331,1828,1346,1175,1376
SWITCH Data Center High,Sustaining,1263,1314,843,974,753,693,911,917,1944,1267,1757,1472
TRANSCEIVER MODULE Mid2,Sustaining,,,1688,531,6487,5456,10031,10803,15667,37379,34423,36285
ROUTER Enterprise Mid1,Sustaining,2057,4266,11650,7218,6969,8713,10622,11449,10366,13540,16468,13724
MEMORY,Decline,58911,69308,107690,70616,68431,69252,84833,69172,58610,51083,22115,19674
ROUTER Enterprise Mid2,Sustaining,2349,2359,2861,2655,3497,2837,4237,3817,3855,5784,7840,5309
SWITCH Data Center Mid1,Sustaining,4593,6513,3093,2531,2182,2192,2586,1918,2340,1979,1712,1675
ROUTER Enterprise Low ,Decline,13153,15149,17700,10373,15770,1199,3395,5576,5272,6085,6761,16697
SWITCH Data Center Mid2,Sustaining,6629,4275,2981,2956,1987,1709,2326,2280,2001,3152,3208,2374
SWITCH Enterprise High2,NPI,,,,,6,26,111,97,158,138,192,149
