Cost Rank,Product Name,Product Life Cycle,FY22 Q2,FY22 Q3,FY22 Q4,FY23 Q1,FY23 Q2,FY23 Q3,FY23 Q4,FY24 Q1,FY24 Q2,FY24 Q3,FY24 Q4,FY25 Q1,Your Forecast FY25 Q2
1,SWITCH Enterprise High ,Sustaining,57147.0,52873.0,52870.0,38833.0,27114.0,21823.0,31813.0,27302.0,22084.0,21830.0,29404.0,24518.0,
2,SWITCH Enterprise Ultra High ,Sustaining,222.0,1549.0,4619.0,4764.0,5015.0,6656.0,9605.0,5956.0,8450.0,8584.0,12552.0,9665.0,
3,SWITCH Enterprise Ultra High ,Sustaining,24362.0,21308.0,19067.0,14551.0,13271.0,10165.0,10477.0,7295.0,8084.0,9249.0,10742.0,9189.0,
4,SWITCH Enterprise Low,Sustaining,,,1227.0,24186.0,7680.0,16772.0,17554.0,16095.0,26125.0,24337.0,21988.0,32768.0,
5,TRANSCEIVER MODULE Mid,Sustaining,208760.0,116126.0,150803.0,82163.0,82408.0,67132.0,87498.0,69599.0,78130.0,76840.0,85421.0,54494.0,
6,POWER SUPPLY High,Sustaining,204604.0,194538.0,185160.0,147284.0,136997.0,100623.0,128229.0,100456.0,93373.0,115327.0,145690.0,120699.0,
7,TRANSCEIVER MODULE High,Sustaining,19790.0,2476.0,3149.0,6367.0,2287.0,11281.0,5212.0,5408.0,11956.0,16406.0,6735.0,29889.0,
8,ACCESS POINT Mid,Sustaining,,,13260.0,21667.0,30498.0,40505.0,61214.0,41932.0,59424.0,60073.0,66952.0,57131.0,
9,POWER SUPPLY Mid,Sustaining,191286.0,228892.0,197489.0,138040.0,116870.0,96797.0,117644.0,116489.0,96255.0,97046.0,127181.0,109609.0,
10,SERVER ,Sustaining,,,,,,677.0,6834.0,4355.0,5400.0,4422.0,6635.0,4970.0,
11,PROCESSOR ,Sustaining,,,,,,648.0,2415.0,1331.0,1828.0,1346.0,1175.0,1376.0,
12,SWITCH Data Center High,Sustaining,1263.0,1314.0,843.0,974.0,753.0,693.0,911.0,917.0,1944.0,1267.0,1757.0,1472.0,
13,TRANSCEIVER MODULE Mid,Sustaining,,,1688.0,531.0,6487.0,5456.0,10031.0,10803.0,15667.0,37379.0,34423.0,36285.0,
14,ROUTER Enterprise Mid ,Sustaining,2057.0,4266.0,11650.0,7218.0,6969.0,8713.0,10622.0,11449.0,10366.0,13540.0,16468.0,13724.0,
15,MEMORY ,Decline,58911.0,69308.0,107690.0,70616.0,68431.0,69252.0,84833.0,69172.0,58610.0,51083.0,22115.0,19674.0,
16,ROUTER Enterprise Mid ,Sustaining,2349.0,2359.0,2861.0,2655.0,3497.0,2837.0,4237.0,3817.0,3855.0,5784.0,7840.0,5309.0,
17,SWITCH Data Center Mid,Sustaining,4593.0,6513.0,3093.0,2531.0,2182.0,2192.0,2586.0,1918.0,2340.0,1979.0,1712.0,1675.0,
18,ROUTER Enterprise Low ,Decline,13153.0,15149.0,17700.0,10373.0,15770.0,1199.0,3395.0,5576.0,5272.0,6085.0,6761.0,16697.0,
19,SWITCH Data Center Mid,Sustaining,6629.0,4275.0,2981.0,2956.0,1987.0,1709.0,2326.0,2280.0,2001.0,3152.0,3208.0,2374.0,
20,SWITCH Enterprise High ,NPI,,,,,6.0,26.0,111.0,97.0,158.0,138.0,192.0,149.0,
