,,FY2025 Q1,,FY2024 Q4,,FY2024 Q3,
Cost Rank, Product Name  ,Accuracy,BIAS,Accuracy,BIAS,Accuracy,BIAS
1,SWITCH Enterprise High ,29.89%,70.11%,68.73%,31.27%,75.04%,24.96%
2,SWITCH Enterprise Ultra High ,90.54%,9.46%,78.00%,-22.00%,80.61%,-19.39%
3,SWITCH Enterprise Ultra High ,18.71%,81.29%,56.48%,43.52%,82.20%,17.80%
4,SWITCH Enterprise Low,62.71%,37.29%,22.45%,77.55%,95.98%,4.02%
5,TRANSCEIVER MODULE Mid,57.78%,42.22%,83.12%,-16.88%,97.19%,2.81%
6,POWER SUPPLY High,94.14%,-5.86%,86.73%,-13.27%,84.29%,15.71%
7,TRANSCEIVER MODULE High,30.11%,-69.89%,0.00%,167.26%,67.05%,-32.95%
8,ACCESS POINT Mid,95.51%,4.49%,99.48%,0.52%,75.10%,24.90%
9,POWER SUPPLY Mid,94.91%,-5.09%,97.38%,2.62%,55.65%,44.35%
10,SERVER ,0.00%,-100.00%,0.00%,-100.00%,0.00%,-100.00%
11,PROCESSOR ,0.00%,-100.00%,0.00%,-100.00%,0.00%,-100.00%
12,SWITCH Data Center High,63.61%,-36.39%,65.71%,-34.29%,85.91%,-14.09%
13,TRANSCEIVER MODULE Mid,95.27%,4.73%,61.01%,-38.99%,46.82%,-53.18%
14,ROUTER Enterprise Mid ,90.06%,9.94%,96.55%,-3.45%,88.26%,-11.74%
15,MEMORY ,26.08%,73.92%,0.00%,154.51%,88.70%,11.30%
16,ROUTER Enterprise Mid ,91.76%,-8.24%,79.72%,-20.28%,90.77%,-9.23%
17,SWITCH Data Center Mid,92.67%,7.33%,65.13%,34.87%,85.21%,14.79%
18,ROUTER Enterprise Low ,36.65%,-63.35%,77.27%,-22.73%,43.04%,-56.96%
19,SWITCH Data Center Mid,75.73%,-24.27%,68.98%,-31.02%,63.06%,-36.94%
20,SWITCH Enterprise High ,89.59%,10.41%,56.11%,43.89%,77.50%,22.50%
