Cost_Rank,Product_Name,Product_Life_Cycle,FY22_Q2,FY22_Q3,FY22_Q4,FY23_Q1,FY23_Q2,FY23_Q3,FY23_Q4,FY24_Q1,FY24_Q2,FY24_Q3,FY24_Q4,FY25_Q1,D_FY2024_Q3_Accuracy,D_FY2024_Q3_BIAS,D_FY2024_Q4_Accuracy,D_FY2024_Q4_BIAS,D_FY2025_Q1_Accuracy,D_FY2025_Q1_BIAS,M_FY2024_Q3_Accuracy,M_FY2024_Q3_BIAS,M_FY2024_Q4_Accuracy,M_FY2024_Q4_BIAS,M_FY2025_Q1_Accuracy,M_FY2025_Q1_BIAS,S_FY2024_Q3_Accuracy,S_FY2024_Q3_BIAS,S_FY2024_Q4_Accuracy,S_FY2024_Q4_BIAS,S_FY2025_Q1_Accuracy,S_FY2025_Q1_BIAS,D_FY2025_Q2_Forecasted,M_FY2025_Q2_Forecasted,S_FY2025_Q2_Forecasted
1,SWITCH Enterprise High 1,Sustaining,10395,10400,6592,10132,6809,6928,10299,7917,7886,11001,10385,9549,73.63%,-26.37%,99.78%,-0.22%,97.30%,-2.70%,88.42%,-11.58%,88.77%,11.23%,97.49%,2.51%,76.47%,-23.53%,80.84%,-19.16%,90.63%,-9.37%,9575,9523,8158
2,ACCESS POINT Mid 1,Decline,131048,90440,99442,67630,84349,67670,55237,53599,53108,51781,59560,53245,92.53%,7.47%,96.70%,3.30%,96.59%,3.41%,21.05%,78.95%,89.70%,10.30%,98.89%,1.11%,88.53%,11.47%,69.21%,-30.79%,94.25%,5.75%,61871,55778,54959
3,SWITCH Enterprise Mid 1,Sustaining,19897,15482,13128,8770,6703,7056,8138,8558,7037,9822,9700,9122,77.40%,-22.60%,93.92%,6.08%,97.79%,2.21%,78.41%,-21.59%,87.65%,12.35%,70.91%,29.09%,87.55%,-12.45%,96.72%,3.28%,97.45%,-2.55%,8317,8012,8235
4,SWITCH Enterprise Mid 2,Sustaining,18638,27319,18233,11190,10927,8358,11681,10461,9704,11345,9946,8461,95.45%,4.55%,70.59%,29.41%,71.20%,28.80%,95.22%,-4.78%,46.31%,53.69%,4.78%,95.22%,95.36%,-4.64%,90.61%,9.39%,71.62%,28.38%,10445,11239,9618
5,SWITCH Data Center Low 1,Sustaining,6629,4275,2981,2956,1987,1709,2326,2280,2001,3152,3208,2374,66.62%,-33.38%,71.70%,-28.30%,88.80%,11.20%,63.06%,-36.94%,68.98%,-31.02%,75.73%,-24.27%,63.55%,-36.45%,79.11%,-20.89%,98.53%,-1.47%,2550,2283,2496
6,SWITCH Enterprise High 2,Sustaining,815,698,980,832,496,384,528,471,526,715,713,929,70.49%,-29.51%,83.59%,16.41%,72.14%,-27.86%,91.47%,-8.53%,57.84%,42.16%,77.84%,-22.16%,69.23%,-30.77%,66.62%,-33.38%,51.02%,-48.98%,718,893,687
7,SWITCH Data Center Low 2,Sustaining,989,480,829,788,509,418,627,377,330,235,573,537,48.51%,51.49%,61.08%,-38.92%,72.63%,-27.37%,0.00%,101.39%,83.95%,-16.05%,69.74%,-30.26%,38.30%,61.70%,84.47%,-15.53%,87.52%,-12.48%,425,439,459
8,Wireless Controller 1,Sustaining,4510,3715,2796,1903,2196,2293,2705,2332,2149,2215,2822,2231,90.74%,9.26%,88.59%,-11.41%,97.18%,2.82%,88.31%,-11.69%,87.42%,-12.58%,96.01%,3.99%,94.72%,5.28%,85.86%,-14.14%,91.75%,8.25%,2277,2320,2363
9,ACCESS POINT Mid 2,Sustaining,11410,10473,20658,9095,15951,10691,9108,7817,8642,8753,8870,6977,95.88%,4.12%,86.05%,13.95%,82.01%,17.99%,25.71%,74.29%,79.41%,20.59%,73.69%,26.31%,99.66%,0.34%,97.25%,-2.75%,75.53%,24.47%,10072,8801,7828
10,Wireless Controller 2,Sustaining,2117,2119,2252,1449,1062,1413,1390,1277,1207,956,1290,1208,44.87%,55.13%,97.60%,-2.40%,94.54%,-5.46%,0.00%,203.66%,0.00%,190.39%,77.24%,22.76%,69.46%,30.54%,98.60%,1.40%,91.89%,8.11%,1280,1431,1144
