Cost_Rank,Product_Name,Product_Life_Cycle,FY22_Q2,FY22_Q3,FY22_Q4,FY23_Q1,FY23_Q2,FY23_Q3,FY23_Q4,FY24_Q1,FY24_Q2,FY24_Q3,FY24_Q4,FY25_Q1,D_FY2024_Q3_Accuracy,D_FY2024_Q3_BIAS,D_FY2024_Q4_Accuracy,D_FY2024_Q4_BIAS,D_FY2025_Q1_Accuracy,D_FY2025_Q1_BIAS,M_FY2024_Q3_Accuracy,M_FY2024_Q3_BIAS,M_FY2024_Q4_Accuracy,M_FY2024_Q4_BIAS,M_FY2025_Q1_Accuracy,M_FY2025_Q1_BIAS,S_FY2024_Q3_Accuracy,S_FY2024_Q3_BIAS,S_FY2024_Q4_Accuracy,S_FY2024_Q4_BIAS,S_FY2025_Q1_Accuracy,S_FY2025_Q1_BIAS,D_FY2025_Q2_Forecasted,M_FY2025_Q2_Forecasted,S_FY2025_Q2_Forecasted,D_FY24_Q3_Forecasted,D_FY24_Q4_Forecasted,D_FY25_Q1_Forecasted,M_FY24_Q3_Forecasted,M_FY24_Q4_Forecasted,M_FY25_Q1_Forecasted,S_FY24_Q3_Forecasted,S_FY24_Q4_Forecasted,S_FY25_Q1_Forecasted
1,SWITCH Enterprise High 1,Sustaining,10395,10400,6592,10132,6809,6928,10299,7917,7886,11001,10385,9549,0.7363,-0.2637,0.9978,-0.0022,0.973,-0.027000000000000003,0.8842,-0.1158,0.8876999999999999,0.11230000000000001,0.9749,0.025099999999999997,0.7646999999999999,-0.2353,0.8084,-0.1916,0.9063,-0.09369999999999999,9575,9523,8158,8100.0363,10362.153,9291.177,9727.0842,11551.2355,9788.6799,8412.464699999999,8395.234,8654.2587
2,ACCESS POINT Mid 1,Decline,131048,90440,99442,67630,84349,67670,55237,53599,53108,51781,59560,53245,0.9253,0.0747,0.9670000000000001,0.033,0.9659,0.0341,0.21050000000000002,0.7895,0.897,0.10300000000000001,0.9889,0.0111,0.8853,0.11470000000000001,0.6920999999999999,-0.3079,0.9425,0.0575,61871,55778,54959,55649.0407,61525.479999999996,55060.654500000004,92662.0995,65694.68,53836.01950000001,57720.2807,41221.475999999995,56306.58750000001
3,SWITCH Enterprise Mid 1,Sustaining,19897,15482,13128,8770,6703,7056,8138,8558,7037,9822,9700,9122,0.774,-0.226,0.9392,0.0608,0.9779000000000001,0.022099999999999998,0.7841,-0.2159,0.8765000000000001,0.1235,0.7091,0.2909,0.8755,-0.1245,0.9672,0.032799999999999996,0.9745,-0.0255,8317,8012,8235,7602.228,10289.76,9323.5962,7701.4302,10897.949999999999,11775.5898,8599.161,10018.16,8889.389000000001
4,SWITCH Enterprise Mid 2,Sustaining,18638,27319,18233,11190,10927,8358,11681,10461,9704,11345,9946,8461,0.9545,0.0455,0.7059000000000001,0.29410000000000003,0.7120000000000001,0.28800000000000003,0.9521999999999999,-0.0478,0.4631,0.5368999999999999,0.0478,0.9521999999999999,0.9536,-0.0464,0.9061,0.09390000000000001,0.7162000000000001,0.2838,10445,11239,9618,11861.1975,12871.1186,10897.768,10802.709,15286.007399999999,16517.5642,10818.592,10879.9294,10862.2318
5,SWITCH Data Center Low 1,Sustaining,6629,4275,2981,2956,1987,1709,2326,2280,2001,3152,3208,2374,0.6662,-0.33380000000000004,0.7170000000000001,-0.28300000000000003,0.888,0.11199999999999999,0.6306,-0.36939999999999995,0.6898000000000001,-0.3102,0.7573000000000001,-0.2427,0.6355,-0.36450000000000005,0.7911,-0.2089,0.9853000000000001,-0.0147,2550,2283,2496,2099.8623999999995,2300.136,2639.8880000000004,1987.6512000000002,2212.8784,1797.8301999999999,2003.0959999999998,2537.8488,2339.1022
6,SWITCH Enterprise High 2,Sustaining,815,698,980,832,496,384,528,471,526,715,713,929,0.7049,-0.29510000000000003,0.8359000000000001,0.1641,0.7214,-0.2786,0.9147,-0.08529999999999999,0.5784,0.4216,0.7784,-0.2216,0.6923,-0.3077,0.6662,-0.33380000000000004,0.5102,-0.48979999999999996,718,893,687,504.0035,830.0033,670.1806,654.0105000000001,1013.6007999999999,723.1336,494.9945,475.0005999999999,473.9758
7,SWITCH Data Center Low 2,Sustaining,989,480,829,788,509,418,627,377,330,235,573,537,0.4851,0.5149,0.6108,-0.3892,0.7263,-0.2737,0.0,1.0139,0.8395,-0.1605,0.6973999999999999,-0.30260000000000004,0.38299999999999995,0.617,0.8447,-0.1553,0.8752,-0.12480000000000001,425,439,459,356.00149999999996,349.9884,390.02309999999994,473.2665,481.0335,374.5038,379.995,484.0131,469.9824
8,Wireless Controller 1,Sustaining,4510,3715,2796,1903,2196,2293,2705,2332,2149,2215,2822,2231,0.9074,0.0926,0.8859,-0.11410000000000001,0.9718000000000001,0.0282,0.8831,-0.11689999999999999,0.8742,-0.1258,0.9601000000000001,0.039900000000000005,0.9472,0.0528,0.8586,-0.1414,0.9175,0.0825,2277,2320,2363,2420.109,2500.0098000000003,2293.9142,1956.0665,2466.9924,2320.0169,2331.9519999999998,2422.9692,2415.0575
9,ACCESS POINT Mid 2,Sustaining,11410,10473,20658,9095,15951,10691,9108,7817,8642,8753,8870,6977,0.9588,0.0412,0.8604999999999999,0.13949999999999999,0.8201,0.17989999999999998,0.2571,0.7429000000000001,0.7940999999999999,0.2059,0.7369,0.2631,0.9965999999999999,0.0034000000000000002,0.9725,-0.0275,0.7553,0.2447,10072,8801,7828,9113.623599999999,10107.365,8232.1623,15255.603700000001,10696.333,8812.648700000002,8782.7602,8626.075,8684.2719
10,Wireless Controller 2,Sustaining,2117,2119,2252,1449,1062,1413,1390,1277,1207,956,1290,1208,0.4487,0.5513,0.976,-0.024,0.9454,-0.0546,0.0,2.0366,0.0,1.9039,0.7724,0.22760000000000002,0.6945999999999999,0.3054,0.986,0.013999999999999999,0.9189,0.08109999999999999,1280,1431,1144,1483.0428,1259.04,1142.0432,2902.9896,3746.0310000000004,1482.9408,1247.9624000000001,1308.06,1305.9687999999999
